NUMERO,DESCRICAO,FAMILIA,PRECO1,PRECOVENDA,STOCK,MARGEM
1,EMPADA DE GALINHA CUVETE ASA 9X6 UN,Alimentos,"4.190,17",721,"1,00","-82,79%"

2,BIFE PERU PANADO CUVETE ASA 10X300 GR,Alimentos,"3.776,43",735,"3,00","-80,54%"

3,PATANISCA BACALHAU CUVETE ASA 8X6 UN,Alimentos,"2.399,74",491,"2,37","-79,54%"

4,VACA BIFE NOVILHO ASA 1X1 KG,Alimentos,"1.306,59",299,"6,59","-77,12%"

5,CHAMU_A CARNE CUVETE ASA 12X6 UN,Alimentos,"3.207,01",735,"5,00","-77,08%"

6,SALMAO POSTA CONGELADO ASA 1X1KG,Alimentos,"635,43",173,"0,86","-72,77%"

7,RISSOIS LEITAO CUVETE ASA 10X4 UN,Alimentos,"2.830,47",791,"1,10","-72,05%"

8,DENT. COLGATE KIDS ( CRIAN_A ) MINI 12X50 ML,PRODUTOS DE HIGIENE LIMPEZA,"5.051,87",1.660,"0,17","-67,14%"

9,FARINHA BRINTA WAKE - UP BANANA 6X110 GR,Alimentos,"1.043,62",396,"1,00","-62,06%"

10,"PORCO, FEBRA (FEVERA) PANADO CUVETE ASA 10X300 GR",Alimentos,"2.706,62",1.061,"5,00","-60,80%"

11,FILETE PESCADA CONGELADA ASA 1X1KG,Alimentos,"567,45",239,"99,70","-57,88%"

12,FEIJ_O SECO PRETO TREVI 20X500 GR,Alimentos,"3.152,67",1.335,"5,25","-57,65%"

13,RISSOIS CAMARAO CUVETE ASA 8X10 UN,Alimentos,"1.814,39",791,"0,30","-56,40%"

14,RISSOIS PESCADA CUVETE ASA 8X10 UN,Alimentos,"1.776,33",791,"0,13","-55,47%"

15,"PORCO, COSTELETA CACHA_O ASA 1X1 KG",Alimentos,"534,81",239,"0,28","-55,31%"

16,"PORCO, COSTELETA LOMBO ASA 1X1 KG",Alimentos,"526,57",239,"0,66","-54,61%"

17,VACA CARNE NOVILHO P/COZINHAR ASA 1X1 KG,Alimentos,"443,21",215,"2,62","-51,49%"

18,PASTA ESCOLAR REF_ 2942  3X1 UN,OUTROS/DIVERSOS,"6.381,00",3.148,"13,00","-50,67%"

19,RISSOIS CARNE CUVETE ASA 8X10 UN,Alimentos,"1.597,58",791,"0,62","-50,49%"

20,COLHER PLASTICO PIKNI ( R-0705) 12X20 UN,OUTROS/DIVERSOS,"864,17",474,"3,58","-45,15%"

21,FARINHEIRA V_CUO SANTA MARIA 1X1 KG,Alimentos,"265,29",147,"0,98","-44,59%"

22,SARDINHA CONGELADA ASA 1X1KG,Alimentos,"306,69",173,"213,00","-43,59%"

23,MANTEIGA MIMOSA c/SAL MINI 100X10 GR,Alimentos,"817,73",469,"14,00","-42,65%"

24,"PORCO, ENTREM. CONG.  FATIADO ASA 1X1 KG",Alimentos,"476,15",285,"7,87","-40,14%"

25,SUMO SUNLAND ANANAS 100% LATA 24X33CL,n_alcool,"986,25",596,"9,50","-39,57%"

26,QUEIJO P/BARRAR DAILY 16X100 GR,Alimentos,"1.192,80",739,"27,50","-38,04%"

27,"PORCO, ENTRECOSTO SEMI- CARNUDO ASA 1X1 KG",Alimentos,"416,59",259,"655,78","-37,83%"

28,SUMO SUNLAND TROPICAL 100% LATA 24X33CL,n_alcool,"937,87",596,"277,01","-36,45%"

29,DROPS DORI GOTA COLA (682) 1X600GR,CONFEITARIAS,"166,36",109,"1,00","-34,48%"

30,AZEITONA PRETA CAMPON_S FATIADA  FRASCO 12X320 GR,Alimentos,"2.507,60",1.683,"7,00","-32,88%"

31,FIGOS PINGO TORRES 1X1 KG,Alimentos,"377,67",261,"0,86","-30,89%"

32,VINHO POUCA ROUPA ALENTEJO BRANCO 6X75 CL,alcoolicas,"6.915,40",4.990,"2,50","-27,84%"

33,DROPS DORI POLAR CEREJA (651) 1X600GR,CONFEITARIAS,"150,17",109,"4,00","-27,42%"

34,GEL WC FRESCOR LIM_O DESTELLO 16X750 ML,PRODUTOS DE HIGIENE LIMPEZA,"3.009,54",2.191,"0,26","-27,20%"

35,AGUA DE COLONIA INF. RELAX. AMALFI (864) 16X750 ML,cosmeticos,"2.615,75",2.060,"0,25","-21,25%"

36,LAMINAS WILKINSON 20X5 UN,OUTROS/DIVERSOS,"2.933,58",2.317,"8,80","-21,02%"

37,"PORCO, FEBRAS ASA 1X1 KG",Alimentos,"476,50",399,"2,14","-16,26%"

38,REFRIGERADOR DE AGUA P. PORTO 1X1 UN,OUTROS/DIVERSOS,"13.095,00",11.600,"1,00","-11,42%"

39,SACO LIXO 50L ANTI GOTA ( 60X80 ) 10X1 ROL,OUTROS/DIVERSOS,"725,38",651,"0,60","-10,25%"

40,GARFO PLASTICO PIKNI 12X20 UN,OUTROS/DIVERSOS,"1.234,13",1.122,"8,00","-9,09%"

41,CHUPETA DORI GOTA COLA (R_ 129) 1X50 UN,CONFEITARIAS,"228,76",208,"139,40","-9,08%"

42,ARROZ ARMANTI GRADE- B 100% 1X25 KG,Alimentos,"1.804,04",1.659,"2.928,06","-8,04%"

43,VINHO QUINTA QUATRO VENTOS DOURO TINTO 6X75 CL,alcoolicas,"10.816,78",10.024,"1,50","-7,33%"

44,"BATATA PR_-FRITA ECOFROST 4X2,5 KG",Alimentos,"1.562,40",1.460,"0,50","-6,55%"

45,ESFREG_O SALVA UNHAS PACK 2 (R-81) SAYMA 12X1PACK,OUTROS/DIVERSOS,"913,61",869,"4,00","-4,88%"

46,VINHO BORBA DOC BRANCO 6X75 CL,alcoolicas,"3.730,52",3.573,"8,00","-4,22%"

47,DOCE MARMELADA CUVETE TREVI 8X450 GR,Alimentos,"727,74",709,"0,25","-2,58%"

48,P_ LIXO C/CABO E BORRACHA 1X18 UN,OUTROS/DIVERSOS,"1.756,49",1.712,"6,90","-2,53%"

49,PO P/REFRESCO FOSTER MANDARIN PCT 12X30 GR,n_alcool,"211,80",208,"9,00","-1,79%"

50,P_ LIXO c/CABO 1X18 UN,OUTROS/DIVERSOS,"1.541,47",1.517,"9,50","-1,59%"

51,BEBIDA ENERG_TICA RODEO 24X25 CL,n_alcool,"1.712,75",1.691,"0,13","-1,27%"

52,LEITE LIQ. M/GORDO 0% LACT. MIMOSA 6X1 LT,Alimentos,"1.006,92",995,"0,50","-1,18%"

53,"SUMO MOCITOS MANGA PCT 8X1,5 LT",n_alcool,"1.316,51",1.304,"2,86","-0,95%"

54,VINHO TERRAS D'ERVIDEIRA ALENTEJO BR. 6X75CL,alcoolicas,"4.125,93",4.121,"8,00","-0,12%"

55,FRALDA JOYFUL JUNIOR 11/25K 20X8 FR,PRODUTOS DE HIGIENE LIMPEZA,"2.779,14",2.778,"0,50","-0,04%"

56,PORTA PALETES LIFTER GS 1X1 UN,OUTROS/DIVERSOS,"40.869,50",40.869,"2,00","0,00%"

57,OLEO COCO C/AROMA GENGIBRE N-JOY FRASCO 12X200 ML,Alimentos,"3.173,00",3.173,"0,50","0,00%"

